11106,Noise - Commercial
10012,Homeless Encampment
11223,Noise - Commercial
10018,Noise - Commercial
10024,Noise - Commercial
11211,Taxi Complaint
11377,Noise - Commercial
10469,Illegal Parking
10016,Noise - Commercial
11238,Noise - Commercial
11434,Blocked Driveway
11418,Noise - Commercial
11385,Noise - Street/Sidewalk
11209,Noise - Commercial
10456,Blocked Driveway
11103,Blocked Driveway
10003,For Hire Vehicle Complaint
11222,Noise - Commercial
11201,Noise - Street/Sidewalk
11103,Noise - Street/Sidewalk
11238,Taxi Complaint
11417,Noise - Commercial
10036,Illegal Parking
11208,Noise - Vehicle
10475,Illegal Parking
10002,Noise - Commercial
10033,Blocked Driveway
10466,Blocked Driveway
11216,Noise - Commercial
11206,Noise - Street/Sidewalk
10456,Illegal Parking
11226,Noise - Street/Sidewalk
11206,Noise - Commercial
11221,Noise - Commercial
10459,Noise - Street/Sidewalk
10019,Noise - Commercial
11203,Blocked Driveway
11222,Noise - Street/Sidewalk
11249,Noise - Commercial
11203,Blocked Driveway
11356,Noise - Commercial
10017,Street Condition
11377,Noise - Street/Sidewalk
10011,Taxi Complaint
11238,Noise - Street/Sidewalk
10458,Blocked Driveway
11374,Illegal Parking
11232,Blocked Driveway
11208,Blocked Driveway
11377,Noise - Commercial
11377,Blocked Driveway
10017,Street Condition
10025,Drinking
11221,Noise - Commercial
11355,Blocked Driveway
11226,Noise - Commercial
11103,Noise - Commercial
10040,Noise - Street/Sidewalk
11249,Taxi Complaint
10025,Noise - Commercial
10304,Noise - Commercial
10019,Noise - Commercial
10040,Noise - Commercial
10457,Noise - Vehicle
11223,Noise - Commercial
11419,Derelict Vehicle
10040,Noise - Commercial
11377,Noise - Commercial
10003,Noise - Street/Sidewalk
11415,Noise - Commercial
11432,Noise - Commercial
10011,Noise - Commercial
10032,Noise - Commercial
10032,Taxi Complaint
10019,Noise - Commercial
11222,Noise - Street/Sidewalk
11210,Blocked Driveway
10025,Noise - Commercial
10036,Noise - Commercial
11215,Unsanitary Pigeon Condition
10472,Noise - Commercial
10019,Noise - Commercial
11206,Noise - Commercial
10012,Noise - Commercial
11435,Street Condition
11385,Noise - Vehicle
11204,Blocked Driveway
11205,Noise - Commercial
11374,Blocked Driveway
10011,Illegal Parking
11210,Illegal Parking
10455,Noise - Commercial
10019,Noise - Commercial
11221,Noise - Commercial
11372,Blocked Driveway
10019,Noise - Commercial
11249,Noise - Commercial
11234,Noise - Commercial
10034,Noise - Commercial
10465,Illegal Parking
10034,Noise - Commercial
10011,Noise - Commercial
11238,Noise - Commercial
10034,Taxi Complaint
11103,Noise - Commercial
11249,Noise - Commercial
10032,Taxi Complaint
11216,Noise - Street/Sidewalk
10040,Noise - Street/Sidewalk
11356,Illegal Parking
10028,Noise - Commercial
11210,Drinking
10459,Noise - Street/Sidewalk
11205,Noise - Street/Sidewalk
10003,Noise - Commercial
10033,Noise - Commercial
10034,Noise - Street/Sidewalk
10465,Blocked Driveway
11211,Noise - Commercial
10012,Noise - Commercial
11216,Noise - Commercial
11370,Illegal Parking
10458,Noise - Commercial
11217,Noise - Commercial
11370,Blocked Driveway
10002,Noise - Commercial
11420,Noise - Vehicle
10036,Noise - Commercial
10011,Noise - Commercial
10024,Noise - Commercial
11211,Noise - Commercial
10036,Noise - Commercial
10027,Noise - Commercial
10025,Noise - Commercial
10024,Noise - Commercial
10019,Noise - Street/Sidewalk
11217,Food Establishment
11233,Noise - Commercial
11216,Noise - Commercial
11435,Illegal Parking
10023,Noise - Street/Sidewalk
10027,Noise - Commercial
11370,Blocked Driveway
10027,Noise - Commercial
10036,Noise - Commercial
10001,Noise - Commercial
10027,Noise - Commercial
11211,Noise - Commercial
10128,Noise - Commercial
11375,Taxi Complaint
10009,Noise - Commercial
11201,Noise - Commercial
10025,Noise - Street/Sidewalk
11226,Noise - Street/Sidewalk
10036,Noise - Commercial
11205,Noise - Commercial
10025,Noise - Commercial
